iter	Passed	Remaining
0	191	191734
1	242	121167
2	279	92970
3	319	79619
4	358	71439
5	396	65720
6	435	61849
7	477	59216
8	517	57025
9	578	57282
10	637	57339
11	677	55752
12	702	53339
13	734	51759
14	787	51693
15	827	50884
16	859	49693
17	890	48581
18	912	47103
19	947	46442
20	997	46505
21	1054	46882
22	1133	48142
23	1199	48769
24	1229	47934
25	1284	48115
26	1350	48664
27	1418	49230
28	1484	49702
29	1513	48922
30	1577	49303
31	1687	51054
32	1773	51965
33	1935	54989
34	1946	53674
35	1960	52509
36	1972	51329
37	2005	50763
38	2074	51114
39	2173	52174
40	2261	52887
41	2314	52796
42	2350	52309
43	2383	51795
44	2433	51647
45	2477	51386
46	2537	51455
47	2578	51149
48	2620	50863
49	2660	50555
50	2705	50342
51	2757	50279
52	2803	50094
53	2844	49838
54	2886	49603
55	2942	49609
56	3001	49651
57	3044	49444
58	3078	49099
59	3119	48869
60	3175	48878
61	3217	48672
62	3260	48486
63	3303	48310
64	3353	48232
65	3387	47939
66	3406	47435
67	3423	46916
68	3439	46409
69	3453	45880
70	3469	45390
71	3484	44911
72	3502	44470
73	3532	44206
74	3572	44063
75	3608	43867
76	3654	43803
77	3700	43744
78	3751	43733
79	3797	43673
80	3847	43646
81	3894	43596
82	3937	43501
83	3992	43540
84	4031	43395
85	4078	43341
86	4104	43073
87	4172	43246
88	4221	43213
89	4267	43151
90	4310	43057
91	4356	42992
92	4406	42973
93	4454	42935
94	4518	43042
95	4560	42945
96	4603	42858
97	4641	42723
98	4720	42964
99	4840	43563
100	4907	43680
101	4962	43687
102	5009	43622
103	5055	43554
104	5103	43502
105	5150	43442
106	5204	43439
107	5246	43330
108	5283	43187
109	5326	43094
110	5371	43018
111	5399	42811
112	5440	42705
113	5477	42571
114	5516	42454
115	5555	42336
116	5604	42295
117	5648	42217
118	5767	42701
119	5828	42740
120	5882	42730
121	5935	42714
122	5993	42732
123	6032	42616
124	6081	42568
125	6119	42446
126	6169	42406
127	6220	42379
128	6268	42327
129	6317	42281
130	6361	42198
131	6422	42230
132	6501	42381
133	6550	42332
134	6612	42371
135	6649	42246
136	6695	42173
137	6758	42216
138	6818	42232
139	6861	42146
140	6906	42074
141	6937	41917
142	6948	41643
143	6960	41377
144	6975	41133
145	6987	40869
146	7051	40917
147	7103	40893
148	7146	40818
149	7175	40659
150	7231	40658
151	7287	40656
152	7333	40598
153	7373	40504
154	7406	40378
155	7442	40264
156	7455	40031
157	7469	398158	7509	39720
159159	7554	396160	7615	39688
161161	7653	395162162	7705	395163163	7815	398164164	7864	397165165	7901	396166166	7978	397167167	8032	39781
168	8071	396169169	8126	396170170	8169	396171171	8203	39491
172	8245	394173173	8290	39355
174	8350	39368
175	8391	39287
176	8434	39216
177	8491	39214
178	8541	39174
179	8591	39137
180	8618	38996
181	8637	38821
182	8653	38632
183	8673	38464
184	8692	38291
185	8706	38100
186	8724	37929
187	8740	37751
188	8804	37779
189	8840	37688
190	8883	37626
191	8908	37489
192	8933	37353
193	8962	37236
194	9012	37204
195	9084	37264
196	9152	37308
197	9183	37199
198	9224	37131
199	9269	37079
200	9345	37150
201	9432	37264
